,DisasterId,DisasterSubgroup,DisasterType,Event Name,Origin
351,3085,Geophysical,Volcanic activity,Mt. Sangeang,
352,3101,Meteorological,Storm,Orilla,
353,3104,Meteorological,Storm,Typhoon Irma,
354,3105,Meteorological,Storm,Pat,
355,3129,Meteorological,Storm,Dot (Saling),
356,3130,Meteorological,Storm,Hal (Kuring) and Irma (Daling),
357,3131,Meteorological,Storm,Tess (Miling),
358,3171,Geophysical,Volcanic activity,Mount Mihara,
359,3177,Meteorological,Storm,Danielle,
360,3179,Meteorological,Storm,Honorinina,
361,3202,Meteorological,Storm,Peggy (Gading),
362,3203,Meteorological,Storm,Wayne (Miding),
363,3204,Meteorological,Storm,Dom (Oyang),
364,3205,Meteorological,Storm,Ellen (Daling),
365,3206,Meteorological,Storm,Georgia (Ruping),
366,3207,Meteorological,Storm,Narge (Aning),
367,3222,Geophysical,Volcanic activity,Mt. Mandosawu,
368,3256,Meteorological,Storm,Kelly,
369,3260,Meteorological,Storm,Thelma,
370,3261,Meteorological,Storm,Vernon,
371,3294,Meteorological,Storm,Betty (Herming),
372,3295,Meteorological,Storm,Lynn (Pedang),
373,3296,Meteorological,Storm,Nina (Sisang),
374,3297,Meteorological,Storm,Cart (Ising),
375,3298,Meteorological,Storm,Phillis (Trining),
376,3321,Geophysical,Volcanic activity,Banda Api,
377,3322,Geophysical,Volcanic activity,Mt. Kiebessy,
378,3352,Meteorological,Storm,Debby,
379,3359,Meteorological,Storm,Filao,
380,3374,Meteorological,Storm,Bola,
381,3389,Meteorological,Storm,Susan (Biring),
382,3390,Meteorological,Storm,Warren (Huaning),
383,3391,Meteorological,Storm,Ruby (Unsang),
384,3392,Meteorological,Storm,Skip (Yoning),
385,3393,Meteorological,Storm,Tess (Welpring),
386,3416,Meteorological,Storm,Kerry,
387,3425,Meteorological,Storm,Gordon,
388,3440,Geophysical,Volcanic activity,Mount St.Helen,
389,3448,Meteorological,Storm,Joe (n°4),
390,3449,Meteorological,Storm,Ruth (N°6),
391,3476,Meteorological,Storm,Bernie,
392,3481,Meteorological,Storm,Isaac,
393,3490,Meteorological,Storm,Iwa,
394,3499,Meteorological,Storm,Nancy (N°7),
395,3517,Meteorological,Storm,Alicia,
396,3527,Meteorological,Storm,"Herbert (N°7), Kim (N°9), Lex (N°10)",
397,3528,Meteorological,Storm,Georgia (N°6),
398,3566,Meteorological,Storm,Agnes (n°9),
399,3569,Meteorological,Storm,"Domoina, Imboa",
400,3572,Meteorological,Storm,Hina,
401,3593,Meteorological,Storm,Elena,
402,3595,Meteorological,Storm,Juan,
403,3604,Meteorological,Storm,Eric & Nigel,
404,3610,Meteorological,Storm,Namu,
405,3639,Meteorological,Storm,Wayne (N°5),
406,3640,Meteorological,Storm,Raja,
407,3675,Meteorological,Storm,Maury,
408,3678,Meteorological,Storm,Uma,
409,3707,Meteorological,Storm,Keith,
410,3735,Meteorological,Storm,Anne,
411,3741,Meteorological,Storm,Brian,
412,3744,Meteorological,Storm,Fili & Gina,
413,3749,Meteorological,Storm,Hugo,
414,3750,Meteorological,Storm,Gina,
415,3753,Meteorological,Storm,Aivu,
416,3754,Meteorological,Storm,Orson,
417,3764,Meteorological,Storm,Dean,
418,3790,Meteorological,Storm,"Kalafandji, Firinga",
419,3800,Meteorological,Storm,Gustav,
420,3801,Hydrological,Flood,,Extra-tropical cyclone
421,3803,Meteorological,Storm,Joy,
422,3806,Meteorological,Storm,Ottilie and Polly,
423,3807,Meteorological,Storm,Vivian,
424,3808,Meteorological,Storm,Wiebke,
425,3809,Meteorological,Storm,Daria,
426,3810,Meteorological,Storm,Herta,
427,3811,Meteorological,Storm,Judith,
428,3820,Meteorological,Storm,Ofa,
429,3828,Hydrological,Flood,,Brief torrential rain
430,3847,Meteorological,Storm,N°5,
431,3848,Meteorological,Storm,N°6,
432,3849,Meteorological,Storm,Yancy,
433,3850,Meteorological,Storm,Tasha,
434,3851,Meteorological,Storm,Abe,
435,3856,Meteorological,Storm,Peni,
436,3883,Hydrological,Flood,,Heavy rains and thunderstorms
437,3884,Meteorological,Storm,Gorky (02B),
438,3890,Geophysical,Volcanic activity,Mt Hudson,
439,3898,Hydrological,Flood,,Monsoonal rain
440,3909,Geophysical,Volcanic activity,Hudson,
441,3917,Meteorological,Storm,Fred,
442,3918,Meteorological,Storm,Zeke,
443,3929,Hydrological,Landslide,,Heavy rains
444,3933,Geophysical,Volcanic activity,Kartala,
445,3936,Geophysical,Volcanic activity,Pacaya,
446,3938,Meteorological,Storm,Undine,
447,3954,Meteorological,Storm,Polly,
448,3971,Meteorological,Storm,Andrew,
449,3992,Meteorological,Storm,Ted,
450,4032,Hydrological,Flood,,Monssonal rain
451,4046,Geophysical,Volcanic activity,Lascar,
452,4060,Meteorological,Storm,Koryn,
453,4064,Meteorological,Storm,Ira,
454,4065,Meteorological,Storm,Levis,
455,4069,Geophysical,Volcanic activity,Galeras,
456,4087,Hydrological,Landslide,,"Heavy rains, tremor"
457,4094,Meteorological,Storm,Lore,
458,4102,Hydrological,Flood,,Hevay rain
459,4103,Meteorological,Storm,9403,
460,4113,Hydrological,Flood,,Monsoon rain
461,4159,Meteorological,Storm,Alibera,
462,4167,Meteorological,Storm,Firinga,
463,4180,Meteorological,Storm,Gordon (Goring),
464,4181,Meteorological,Storm,Dan (Saling),
465,4182,Meteorological,Storm,Elsie (Tasing),
466,4183,Meteorological,Storm,Angela (Rubing),
467,4184,Meteorological,Storm,Sarah (Openg),
468,4185,Meteorological,Storm,Hunt (Unsing),
469,4186,Meteorological,Storm,Breda (Bining),
470,4197,Hydrological,Flood,,Tropical cyclone
471,4216,Meteorological,Storm,Sina,
472,4223,Meteorological,Storm,Nana,
473,4253,Meteorological,Storm,02B,
474,4269,Climatological,Wildfire,,Drought period
475,4275,Meteorological,Storm,Flo,
476,4318,Geophysical,Volcanic activity,Sabancayo,
477,4325,Meteorological,Storm,Ofelia (Biring) & Percy,
478,4326,Meteorological,Storm,Mike (Ruping),
479,4336,Geophysical,Volcanic activity,Mount Pinatubo,
480,4337,Meteorological,Storm,Thelma (Uring),
481,4340,Climatological,Wildfire,,Prolonged drought
482,4356,Meteorological,Storm,4B,
483,4371,Geophysical,Volcanic activity,Mt. Lokon,
484,4383,Hydrological,Flood,,Monsoon rains
485,4398,Geophysical,Volcanic activity,Unzen,
486,4400,Meteorological,Storm,Caitlin,
487,4401,Meteorological,Storm,Kinna,
488,4402,Meteorological,Storm,Luke,
489,4403,Meteorological,Storm,Mireille (n°19),
